"ID","MonthlyIncome"
871,5503.79000210767
872,2838.5638941614
873,13129.6770172839
874,2752.40342444832
875,2899.59925010603
876,4597.67221588328
877,5620.72763979654
878,2397.69593875839
879,3164.24649636997
880,13896.1691239524
881,9604.36316846479
882,2899.59925010603
883,5373.07135619359
884,5224.39452579236
885,5823.8153835099
886,5124.95812240981
887,5960.18697660033
888,5615.06760578156
889,4302.30835625436
890,2898.53576200624
891,4363.01797710761
892,8030.16175976154
893,7985.91159439517
894,5373.07135619359
895,9790.39048100151
896,8579.01986546105
897,8246.35508481241
898,14890.1309472864
899,5823.8153835099
900,2919.34429475936
901,2830.73185372605
902,5913.49203353367
903,6405.10580921612
904,2961.20630386752
905,15422.3950139051
906,5051.22811757401
907,9283.74315109363
908,5734.36953064277
909,2397.69593875839
910,2281.99986936293
911,23665.0836847115
912,2969.05272424726
913,2899.59925010603
914,9939.0592056064
915,5734.36953064277
916,3859.48982660566
917,2631.03261920118
918,5224.39452579236
919,2142.92125885852
920,3159.38718097672
921,2577.21285393965
922,2212.73308941342
923,4207.27230901865
924,4405.36061844464
925,16274.5179517293
926,3068.20040595926
927,5823.8153835099
928,11602.4782662223
929,2212.73308941342
930,2961.20630386752
931,6217.54824056728
932,10369.1559197487
933,8166.30150399961
934,2537.11324156135
935,2200.53983502484
936,2646.50860361207
937,8968.21789069483
938,9112.49825997306
939,4879.85399448451
940,2142.92125885852
941,3257.58301328454
942,8292.04837503476
943,9657.58122045794
944,5153.35566246917
945,1781.81306004587
946,5415.49895390536
947,2131.11270220568
948,2631.03261920118
949,3015.42687160405
950,5589.75464884303
951,3164.24649636997
952,5620.72763979654
953,5665.11081570092
954,2830.73185372605
955,4230.58492564541
956,6074.32688823891
957,10317.6727469899
958,3068.20040595926
959,9211.00988625016
960,25436.4655452119
961,2919.34429475936
962,4363.01797710761
963,6122.89660305702
964,4536.28773350683
965,2486.45433812694
966,24251.4528973776
967,2838.5638941614
968,8166.30150399961
969,15960.2847781633
970,2737.23631943469
971,5503.79000210767
972,5869.80220926727
973,2752.40342444832
974,2281.99986936293
975,5330.02321134441
976,2729.35417136623
977,6513.02209859832
978,2903.25726293246
979,9077.85868442946
980,21193.6165331843
981,2741.4221337855
982,8718.40369320463
983,2830.73185372605
984,2665.56497004745
985,5620.72763979654
986,3037.0745633955
987,2269.42492073719
988,5503.79000210767
989,9397.24139347805
990,2631.03261920118
991,4595.31115432303
992,2838.5638941614
993,4536.28773350683
994,5224.39452579236
995,5373.07135619359
996,4786.9684019934
997,2631.03261920118
998,17294.9755023177
999,8409.003609287
